316,5.28%,4.59%,6.96%
317,5.28%,4.59%,6.97%
318,5.28%,4.59%,6.97%
319,5.28%,4.59%,6.97%
320,5.29%,4.60%,6.98%
321,5.29%,4.60%,6.98%
322,5.29%,4.60%,6.98%
323,5.29%,4.60%,6.99%
324,5.30%,4.61%,6.99%
325,5.30%,4.61%,6.99%
326,5.30%,4.61%,7.00%
327,5.30%,4.61%,7.00%
328,5.31%,4.61%,7.00%
329,5.31%,4.62%,7.01%
330,5.31%,4.62%,7.01%
331,5.31%,4.62%,7.01%
332,5.32%,4.62%,7.02%
333,5.32%,4.62%,7.02%
334,5.32%,4.63%,7.02%
335,5.32%,4.63%,7.03%
336,5.33%,4.63%,7.03%
337,5.33%,4.63%,7.03%
338,5.33%,4.64%,7.04%
339,5.33%,4.64%,7.04%
340,5.34%,4.64%,7.04%
341,5.34%,4.64%,7.05%
342,5.34%,4.64%,7.05%
343,5.34%,4.65%,7.05%
344,5.35%,4.65%,7.06%
345,5.35%,4.65%,7.06%
346,5.35%,4.65%,7.06%
347,5.35%,4.66%,7.07%
348,5.36%,4.66%,7.07%
349,5.36%,4.66%,7.07%
350,5.36%,4.66%,7.08%
351,5.36%,4.66%,7.08%
352,5.37%,4.67%,7.08%
353,5.37%,4.67%,7.09%
354,5.37%,4.67%,7.09%
355,5.37%,4.67%,7.09%
356,5.38%,4.67%,7.10%
357,5.38%,4.68%,7.10%
358,5.38%,4.68%,7.10%
359,5.38%,4.68%,7.11%
360,5.39%,4.68%,7.11%
361,5.39%,4.69%,7.11%
362,5.39%,4.69%,7.12%
363,5.39%,4.69%,7.12%
364,5.40%,4.69%,7.12%
365,5.40%,4.69%,7.13%
366,5.40%,4.70%,7.13%
367,5.40%,4.70%,7.13%
368,5.41%,4.70%,7.14%
369,5.41%,4.70%,7.14%
370,5.41%,4.71%,7.14%
371,5.41%,4.71%,7.15%
372,5.42%,4.71%,7.15%
373,5.42%,4.71%,7.15%
374,5.42%,4.71%,7.16%
375,5.42%,4.72%,7.16%
376,5.43%,4.72%,7.16%
377,5.43%,4.72%,7.17%
378,5.43%,4.72%,7.17%
379,5.43%,4.72%,7.17%
380,5.44%,4.73%,7.18%
381,5.44%,4.73%,7.18%
382,5.44%,4.73%,7.18%
383,5.44%,4.73%,7.19%
384,5.45%,4.74%,7.19%
385,5.45%,4.74%,7.19%
386,5.45%,4.74%,7.20%
387,5.45%,4.74%,7.20%
388,5.46%,4.74%,7.20%
389,5.46%,4.75%,7.20%
390,5.46%,4.75%,7.21%
